time_total,cpu_usage,throughput_mean,turnaround_mean,waiting_time_mean,response_time_mean,context_switch_mean,number_of_processes
29.0,68.965515,1.0,8.6,2.8,0.4,0.31034482,5.0
16.0,56.25,1.0,8.5,4.5,0.0,0.4375,4.0
30.0,83.33333,1.0,15.0,5.0,2.0,0.16666667,3.0
