time_total,cpu_usage,throughput_mean,turnaround_mean,waiting_time_mean,response_time_mean,context_switch_mean,number_of_processes
29.0,79.31035,1.0,7.8,2.0,1.2,0.20689656,5.0
162.0,98.14815,1.0,78.5,38.0,38.0,0.018518519,4.0
16.0,68.75,1.0,7.0,3.0,0.5,0.3125,4.0

