time_total,cpu_usage,throughput_mean,turnaround_mean,waiting_time_mean,response_time_mean,context_switch_mean,number_of_processes
16.0,81.25,1.0,8.75,4.75,4.75,0.1875,4.0
30.0,93.333336,1.0,13.0,3.0,3.0,0.06666667,3.0
162.0,98.14815,1.0,105.75,65.25,65.25,0.018518519,4.0
