time_total,cpu_usage,throughput_mean,turnaround_mean,waiting_time_mean,response_time_mean,context_switch_mean,number_of_processes
29.0,82.75862,1.0,9.0,3.2,3.0,0.1724138,5.0
30.0,93.333336,1.0,13.0,3.0,3.0,0.06666667,3.0
16.0,75.0,1.0,9.5,5.5,3.25,0.25,4.0
